Région;Ancienne région;Département;Zone d'emploi;EPCI;Nom commune;Commune;Grand secteur d'activité;Secteur NA17;Secteur NA38;Secteur NA88;APE;Code région;Code ancienne région;Code département;Code zone d'emploi;Code EPCI;Code commune;Code APE;Nombre d'établissements 2006;Effectifs salariés 2006;Nombre d'établissements 2007;Effectifs salariés 2007;Nombre d'établissements 2008;Effectifs salariés 2008;Nombre d'établissements 2009;Effectifs salariés 2009;Nombre d'établissements 2010;Effectifs salariés 2010;Nombre d'établissements 2011;Effectifs salariés 2011;Nombre d'établissements 2012;Effectifs salariés 2012;Nombre d'établissements 2013;Effectifs salariés 2013;Nombre d'établissements 2014;Effectifs salariés 2014;Nombre d'établissements 2015;Effectifs salariés 2015;Nombre d'établissements 2016;Effectifs salariés 2016;Nombre d'établissements 2017;Effectifs salariés 2017;Nombre d'établissements 2018;Effectifs salariés 2018;Nombre d'établissements 2019;Effectifs salariés 2019;Nombre d'établissements 2020;Effectifs salariés 2020;Nombre d'établissements 2021;Effectifs salariés 2021;Nombre d'établissements 2022;Effectifs salariés 2022;Nombre d'établissements 2023;Effectifs salariés 2023;Nombre d'établissements 2024;Effectifs salariés 2024
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;RU autres activités de services;SZ autres activités de services;95 Réparation d'ordinateurs et de biens personnels et domestiques;9512Z Réparation d'équipements de communication;11;11;92;1109;200054781;92009;9512Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;1;2
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS1 Industrie;C5 autres produits industriels;"CM Industrie du meuble et diverses ; réparation et installation de machines";31 Fabrication de meubles;3109B Fabrication d'autres meubles et industries connexes de l'ameublement;11;11;92;1109;200054781;92009;3109B;;;;;;;;;;;1;1;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS1 Industrie;DE Industries extractives, énergie, eau;DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;35 Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;3521Z Production de combustibles gazeux;11;11;92;1109;200054781;92009;3521Z;;;;;;;;;1;76;1;114;1;102;1;94;1;102;1;94;1;92;1;86;2;274;2;212;2;221;2;210;2;209;2;205;2;224
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4645Z Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté;11;11;92;1109;200054781;92009;4645Z;1;34;1;38;1;37;1;34;1;66;1;67;1;70;;;;;;;;;;;1;1;1;2;1;4;2;5;1;6;1;5;1;2
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4776Z Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie;11;11;92;1109;200054781;92009;4776Z;2;8;2;8;5;14;4;9;5;12;4;10;4;12;4;11;4;9;3;9;3;8;3;9;2;8;3;9;3;11;3;8;3;8;3;10;2;7
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4779Z Commerce de détail de biens d'occasion en magasin;11;11;92;1109;200054781;92009;4779Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;1;1;1;1;1;1
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4789Z Autres commerces de détail sur éventaires et marchés;11;11;92;1109;200054781;92009;4789Z;1;2;1;1;1;2;1;3;1;3;1;3;1;2;1;3;1;1;;;;;;;;;;;;;;;;;;;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS4 Hôtellerie-restauration;IZ Hébergement et restauration;IZ Hébergement et restauration;56 Restauration;5630Z Débits de boissons;11;11;92;1109;200054781;92009;5630Z;3;10;3;11;3;9;3;9;3;8;2;6;3;6;3;5;3;7;4;9;3;8;2;6;2;3;2;4;4;9;5;11;3;8;4;26;4;23
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;KZ Activités financières et d'assurance;KZ Activités financières et d'assurance;64 Activités des services financiers, hors assurance et caisses de retraite;6420Z Activités des sociétés holding;11;11;92;1109;200054781;92009;6420Z;2;3;1;0;1;0;2;1;3;1;4;9;4;8;4;11;6;30;6;13;9;27;8;23;7;18;7;19;7;17;9;24;11;31;10;30;11;40
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;KZ Activités financières et d'assurance;KZ Activités financières et d'assurance;66 Activités auxiliaires de services financiers et d'assurance;6621Z évaluation des risques et dommages;11;11;92;1109;200054781;92009;6621Z;1;27;1;32;1;29;1;30;1;31;1;30;1;34;1;29;1;32;1;35;1;30;;;;;;;;;;;;;;;;
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;LZ Activités immobilières;LZ Activités immobilières;68 Activités immobilières;6820A Location de logements;11;11;92;1109;200054781;92009;6820A;6;6;3;2;3;2;3;2;4;3;4;4;5;6;4;5;3;4;3;4;3;4;2;3;2;3;3;4;3;4;3;3;3;3;3;3;2;2
Île-de-France;Île-de-France;Hauts-de-Seine;Paris;Métropole du Grand Paris;Bois-Colombes;92009 Bois-Colombes;GS5 Autres services marchands hors intérim;"MN Activités scientifiques et techniques ; soutien et services administratifs";MA Activités juridiques, de conseil et d'ingénierie;69 Activités juridiques et comptables;6920Z Activités comptables;11;11;92;1109;200054781;92009;6920Z;5;16;5;20;4;19;5;22;6;28;6;28;6;25;6;26;5;22;5;19;6;17;6;17;7;24;7;24;6;18;5;17;5;19;4;18;5;17
